#,Name,Total 1's,Total 2's,Total 3's,Total Votes,Weighted Total
786,Tapu Lele,1,0,1,2,4
787,Tapu Bulu,0,1,0,1,2
788,Tapu Fini,0,1,0,1,2
789,Cosmog,0,1,1,2,3
790,Cosmoem,0,0,1,1,1
791,Solgaleo,0,2,4,6,8
792,Lunala,4,2,8,14,24
793,Nihilego,2,1,1,4,9
794,Buzzwole,2,2,3,7,13
795,Pheromosa,0,0,1,1,1
796,Xurkitree,1,1,3,5,8
797,Celesteela,0,1,1,2,3
798,Kartana,2,1,1,4,9
799,Guzzlord,1,0,1,2,4
800,Necrozma,2,2,6,10,16
801,Magearna,0,3,3,6,9
802,Marshadow,5,5,5,15,30
803,Poipole,1,1,0,2,5
804,Naganadel,1,1,0,2,5
805,Stakataka,1,0,1,2,4
806,Blacephalon,1,1,1,3,6
807,Zeraora,1,1,3,5,8
808,Meltan,0,1,2,3,4
809,Melmetal,1,1,2,4,7
810,Grookey,1,0,1,2,4
811,Thwackey,0,0,0,0,0
812,Rillaboom,3,1,1,5,12
813,Scorbunny,2,3,4,9,16
814,Raboot,0,1,0,1,2
815,Cinderace,7,3,3,13,30
816,Sobble,1,1,1,3,6
817,Drizzile,1,0,0,1,3
818,Inteleon,0,3,1,4,7
819,Skwovet,1,1,2,4,7
820,Greedent,0,0,2,2,2
821,Rookidee,0,1,0,1,2
822,Corvisquire,0,0,0,0,0
823,Corviknight,6,5,14,25,42
824,Blipbug,0,1,0,1,2
825,Dottler,0,0,0,0,0
826,Orbeetle,0,1,0,1,2
827,Nickit,0,0,2,2,2
828,Thievul,0,0,1,1,1
829,Gossifleur,0,0,0,0,0
830,Eldegoss,1,1,0,2,5
831,Wooloo,1,2,2,5,9
832,Dubwool,0,0,2,2,2
833,Chewtle,0,0,0,0,0
834,Drednaw,1,0,0,1,3
835,Yamper,0,0,0,0,0
836,Boltund,0,1,1,2,3
837,Rolycoly,0,0,0,0,0
838,Carkol,0,1,0,1,2
839,Coalossal,0,0,0,0,0
840,Applin,0,0,0,0,0
841,Flapple,1,0,5,6,8
842,Appletun,6,5,13,24,41
843,Silicobra,0,0,0,0,0
844,Sandaconda,0,1,1,2,3
845,Cramorant,2,2,3,7,13
846,Arrokuda,0,0,0,0,0
847,Barraskewda,0,1,1,2,3
848,Toxel,0,1,1,2,3
849,Toxtricity,4,7,15,26,41
850,Sizzilipede,0,0,0,0,0
851,Centiskorch,0,4,3,7,11
852,Clobbopus,2,0,0,2,6
853,Grapploct,1,0,1,2,4
854,Sinistea,1,0,1,2,4
855,Polteageist,3,2,4,9,17
856,Hatenna,0,1,0,1,2
857,Hattrem,2,1,2,5,10
858,Hatterene,3,6,4,13,25
859,Impidimp,0,1,0,1,2
860,Morgrem,0,0,0,0,0
861,Grimmsnarl,3,4,5,12,22
862,Obstagoon,2,6,2,10,20
863,Perrserker,2,0,1,3,7
864,Cursola,0,1,1,2,3
865,Sirfetch'd,0,4,9,13,17
866,Mr. Rime,0,0,1,1,1
867,Runerigus,1,0,4,5,7
868,Milcery,0,0,0,0,0
869,Alcremie,2,2,3,7,13
870,Falinks,4,4,7,15,27
871,Pincurchin,0,0,0,0,0
872,Snom,4,10,8,22,40
873,Frosmoth,1,1,1,3,6
874,Stonjourner,0,0,1,1,1
875,Eiscue,1,0,3,4,6
876,Indeedee,0,1,1,2,3
877,Morpeko,1,2,0,3,7
878,Cufant,1,0,0,1,3
879,Copperajah,1,1,0,2,5
880,Dracozolt,3,2,1,6,14
881,Arctozolt,0,2,1,3,5
882,Dracovish,2,0,3,5,9
883,Arctovish,0,0,1,1,1
884,Duraludon,0,1,1,2,3
885,Dreepy,0,1,2,3,4
886,Drakloak,0,0,0,0,0
887,Dragapult,15,13,22,50,93
888,Zacian,2,5,1,8,17
889,Zamazenta,0,1,0,1,2
890,Eternatus,0,2,3,5,7
891,Kubfu,1,0,0,1,3
892,Urshifu,0,2,3,5,7
893,Zarude,0,0,1,1,1
894,Regieleki,0,1,0,1,2
895,Regidrago,1,0,0,1,3
896,Glastrier,0,0,1,1,1
897,Spectrier,0,1,0,1,2
898,Calyrex,0,0,0,0,0
899,Wyrdeer,1,0,2,3,5
900,Kleavor,1,1,4,6,9
901,Ursaluna,2,2,8,12,18
902,Basculegion,2,1,1,4,9
903,Sneasler,2,2,4,8,14
904,Overqwil,2,1,1,4,9
905,Enamorus,0,2,0,2,4
906,Sprigatito,1,1,8,10,13
907,Floragato,0,1,2,3,4
908,Meowscarada,6,8,16,30,50
909,Fuecoco,3,4,10,17,27
910,Crocalor,0,0,0,0,0
911,Skeledirge,0,3,6,9,12
912,Quaxly,0,1,1,2,3
913,Quaxwell,0,0,0,0,0
914,Quaquaval,0,1,3,4,5
915,Lechonk,0,1,3,4,5
916,Oinkologne,0,0,1,1,1
917,Tarountula,0,0,1,1,1
918,Spidops,0,0,0,0,0
919,Nymble,0,0,0,0,0
920,Lokix,1,0,3,4,6
921,Pawmi,1,1,2,4,7
922,Pawmo,0,1,0,1,2
923,Pawmot,0,0,2,2,2
924,Tandemaus,0,0,1,1,1
925,Maushold,3,6,9,18,30
926,Fidough,1,0,0,1,3
927,Dachsbun,1,4,4,9,15
928,Smoliv,2,1,4,7,12
929,Dolliv,0,0,1,1,1
930,Arboliva,0,0,0,0,0
931,Squawkabilly,0,0,0,0,0
932,Nacli,0,1,2,3,4
933,Naclstack,0,0,0,0,0
934,Garganacl,0,2,4,6,8
935,Charcadet,1,0,1,2,4
936,Armarouge,0,1,1,2,3
937,Ceruledge,7,9,21,37,60
938,Tadbulb,0,0,0,0,0
939,Bellibolt,1,2,1,4,8
940,Wattrel,0,0,1,1,1
941,Kilowattrel,0,1,2,3,4
942,Maschiff,0,0,0,0,0
943,Mabosstiff,0,0,0,0,0
944,Shroodle,0,0,0,0,0
945,Grafaiai,2,3,3,8,15
946,Bramblin,0,0,1,1,1
947,Brambleghast,1,1,0,2,5
948,Toedscool,1,0,0,1,3
949,Toedscruel,0,0,3,3,3
950,Klawf,0,0,3,3,3
951,Capsakid,0,0,0,0,0
952,Scovillain,0,1,2,3,4
953,Rellor,0,1,1,2,3
954,Rabsca,0,0,2,2,2
955,Flittle,0,0,0,0,0
956,Espathra,0,0,2,2,2
957,Tinkatink,0,0,0,0,0
958,Tinkatuff,0,0,0,0,0
959,Tinkaton,7,14,36,57,85
960,Wiglett,0,1,1,2,3
961,Wugtrio,0,0,0,0,0
962,Bombirdier,0,0,0,0,0
963,Finizen,0,0,0,0,0
964,Palafin,0,0,5,5,5
965,Varoom,0,0,0,0,0
966,Revavroom,0,1,1,2,3
967,Cyclizar,0,0,1,1,1
968,Orthworm,1,0,2,3,5
969,Glimmet,1,0,0,1,3
970,Glimmora,2,1,5,8,13
971,Greavard,0,1,1,2,3
972,Houndstone,1,0,0,1,3
973,Flamigo,1,0,2,3,5
974,Cetoddle,0,1,0,1,2
975,Cetitan,0,0,3,3,3
976,Veluza,0,0,1,1,1
977,Dondozo,0,0,1,1,1
978,Tatsugiri,0,3,5,8,11
979,Annihilape,4,4,12,20,32
980,Clodsire,4,22,17,43,73
981,Farigiraf,3,1,3,7,14
982,Dudunsparce,1,1,1,3,6
983,Kingambit,1,2,4,7,11
984,Great Tusk,1,1,1,3,6
985,Scream Tail,0,2,2,4,6
986,Brute Bonnet,0,0,0,0,0
987,Flutter Mane,0,0,4,4,4
988,Slither Wing,4,6,6,16,30
989,Sandy Shocks,1,1,0,2,5
990,Iron Treads,0,0,1,1,1
991,Iron Bundle,0,0,3,3,3
992,Iron Hands,0,0,0,0,0
993,Iron Jugulis,0,0,1,1,1
994,Iron Moth,1,0,0,1,3
995,Iron Thorns,0,0,0,0,0
996,Frigibax,0,0,0,0,0
997,Arctibax,0,1,0,1,2
998,Baxcalibur,0,0,4,4,4
999,Gimmighoul,1,0,2,3,5
1000,Gholdengo,1,5,7,13,20
1001,Wo-Chien,0,3,3,6,9
1002,Chien-Pao,1,2,5,8,12
1003,Ting-Lu,0,0,0,0,0
1004,Chi-Yu,0,0,2,2,2
1005,Roaring Moon,1,6,0,7,15
1006,Iron Valiant,4,4,12,20,32
1007,Koraidon,0,6,3,9,15
1008,Miraidon,1,2,1,4,8
1009,Walking Wake,0,0,3,3,3
1010,Iron Leaves,0,0,0,0,0
1011,Ogerpon,0,0,0,0,0
1012,Okidogi,0,0,0,0,0
1013,Munkidori,0,1,1,2,3
1014,Fezandipiti,0,0,0,0,0
1015,Terapagos,0,0,1,1,1
1016,Alolan Rattata,0,0,0,0,0
1017,Alolan Raticate,0,0,0,0,0
1018,Alolan Raichu,5,8,11,24,42
1019,Alolan Sandshrew,0,2,0,2,4
1020,Alolan Sandslash,3,0,1,4,10
1021,Alolan Vulpix,7,12,8,27,53
1022,Alolan Ninetales,10,21,13,44,85
1023,Alolan Diglett,0,0,0,0,0
1024,Alolan Dugtrio,0,0,1,1,1
1025,Alolan Meowth,0,1,0,1,2
1026,Alolan Persian,0,0,0,0,0
1027,Alolan Geodude,0,0,0,0,0
1028,Alolan Graveler,0,0,0,0,0
1029,Alolan Golem,0,1,0,1,2
1030,Alolan Grimer,0,0,1,1,1
1031,Alolan Muk,3,6,3,12,24
1032,Alolan Exeggutor,0,0,4,4,4
1033,Alolan Marowak,2,2,6,10,16
1034,Galarian Meowth,0,0,1,1,1
1035,Galarian Ponyta,0,1,5,6,7
1036,Galarian Rapidash,2,1,4,7,12
1037,Galarian Farfetch'd,0,0,1,1,1
1038,Galarian Weezing,0,1,1,2,3
1039,Galarian Mr. Mime,0,1,0,1,2
1040,Galarian Corsola,1,0,1,2,4
1041,Galarian Zigzagoon,1,3,1,5,10
1042,Galarian Linoone,0,0,0,0,0
1043,Galarian Darumaka,0,0,0,0,0
1044,Galarian Darmanitan,1,1,2,4,7
1045,Galarian Yamask,0,0,0,0,0
1046,Galarian Stunfisk,0,1,1,2,3
1047,Galarian Slowpoke,0,0,0,0,0
1048,Galarian Slowbro,0,0,3,3,3
1049,Galarian Articuno,0,1,1,2,3
1050,Galarian Zapdos,0,3,2,5,8
1051,Galarian Moltres,0,2,2,4,6
1052,Galarian Slowking,0,0,1,1,1
1053,Hisuian Growlithe,1,0,0,1,3
1054,Hisuian Arcanine,0,3,5,8,11
1055,Hisuian Voltorb,0,1,1,2,3
1056,Hisuian Electrode,0,1,1,2,3
1057,Hisuian Typhlosion,4,5,7,16,29
1058,Hisuian Qwilfish,0,0,0,0,0
1059,Hisuian Sneasel,0,1,0,1,2
1060,Hisuian Samurott,5,2,4,11,23
1061,Hisuian Lilligant,1,1,0,2,5
1062,Hisuian Zorua,2,5,8,15,24
1063,Hisuian Zoroark,13,14,18,45,85
1064,Hisuian Braviary,1,1,0,2,5
1065,Hisuian Sliggoo,0,0,0,0,0
1066,Hisuian Goodra,1,4,8,13,19
1067,Hisuian Avalugg,1,0,0,1,3
1068,Hisuian Decidueye,6,2,0,8,22
1069,Paldean Tauros,0,3,2,5,8
1070,Paldean Wooper,0,3,6,9,12
